date,India_Imports_China,India_Exports_China
2016-01-01,5110311444.349,589635394.793
2016-02-01,5103678222.9,652203435.526
2016-03-01,4790287517.142,781832837.093
2016-04-01,3552264275.768,671438162.183
2016-05-01,4611318682.319,733185027.096
2016-06-01,5312202710.876,637659177.192
2016-07-01,4998311163.949,599958964.415
2016-08-01,5357934707.283,566309233.031
2016-09-01,5337166516.823,749388552.857
2016-10-01,5658225297.734,701196225.888
2016-11-01,4814557369.532,1068417840.936
2016-12-01,5823814366.548,1159334277.247
