date,country,imports,exports,oil_price,usd_inr,gdp_india,gdp_country,trade_deficit,trade_deficit_next
2011-01,china,3914854963.814,1274883314.094,96.52,45.8380012512207,1.82,7.67,2639971649.7200003,2084112801.3190002
2011-01,russia,244650464.16,121299481.382,96.52,45.8380012512207,1.82,2.05,123350982.778,84178737.465
2011-01,usa,1654155567.028,2218181599.073,96.52,45.8380012512207,1.82,15.6,-564026032.0449998,-686751297.0660002
2011-02,china,3365377923.314,1281265121.995,103.72,45.25,1.82,7.67,2084112801.3190002,2087134700.748
2011-02,russia,224052679.789,139873942.324,103.72,45.25,1.82,2.05,84178737.465,-91386647.70700002
2011-02,usa,1608560199.735,2295311496.801,103.72,45.25,1.82,15.6,-686751297.0660002,-1657659923.3019998
2011-03,china,3131302847.541,1044168146.793,114.64,44.61000061035156,1.82,7.67,2087134700.748,2450621425.0759997
2011-03,russia,215818670.903,307205318.61,114.64,44.61000061035156,1.82,2.05,-91386647.70700002,144634671.265
2011-03,usa,1340220870.609,2997880793.911,114.64,44.61000061035156,1.82,15.6,-1657659923.3019998,-1005686752.1559999
2011-04,china,3374249990.166,923628565.09,123.26,44.29999923706055,1.82,7.67,2450621425.0759997,3995345104.403
2011-04,russia,265277846.403,120643175.138,123.26,44.29999923706055,1.82,2.05,144634671.265,215518223.52199998
2011-04,usa,1503760248.022,2509447000.178,123.26,44.29999923706055,1.82,15.6,-1005686752.1559999,-771504923.5100002
2011-05,china,4956227111.813,960882007.41,114.99,45.08300018310547,1.82,7.67,3995345104.403,3699191829.825
2011-05,russia,344913905.459,129395681.937,114.99,45.08300018310547,1.82,2.05,215518223.52199998,214728608.922
2011-05,usa,2207474566.712,2978979490.222,114.99,45.08300018310547,1.82,15.6,-771504923.5100002,-594112280.119
2011-06,china,4608294247.452,909102417.627,113.83,44.7599983215332,1.82,7.67,3699191829.825,3523588068.917
2011-06,russia,367603236.394,152874627.472,113.83,44.7599983215332,1.82,2.05,214728608.922,157212773.57
2011-06,usa,2163040179.818,2757152459.937,113.83,44.7599983215332,1.82,15.6,-594112280.119,-1689131596.5279999
2011-07,china,4674630190.485,1151042121.568,116.97,44.0099983215332,1.82,7.67,3523588068.917,2711201745.0889997
2011-07,russia,307452641.801,150239868.231,116.97,44.0099983215332,1.82,2.05,157212773.57,168961795.68300003
2011-07,usa,1989467832.625,3678599429.153,116.97,44.0099983215332,1.82,15.6,-1689131596.5279999,-462447053.01399994
